App,First Author (last name only),Year of Publication,Outlier,If empirical study what type?,CBT,Duration of Intervention (weeks),DepInst,DepInst2,AnxInst,AnxInst2,grp1n,ri,grp1m,grp1sd,grp2m,grp2sd,grp1md1,grp1sdd1,grp2md1,grp2sdd1,grp1manx,grp1sdanx,grp2manx,grp2sdanx,grp1md2,grp1sdd2,grp2md2,grp2sdd2,grp1manx2,grp1sdanx2,grp2manx2,grp2sdanx2,Primary Task Support Features,Dialogue Support Features,Social Support Features,Credibility Support,primpresent,dialpresent,socpresent,credpresent,total.cats,total.fx,Rate
Health Tips,Anguera,2016,N,Nonrandomized trial,NA,4,PHQ9,NA,GAD7,NA,238,0,NA,NA,NA,NA,15.01,5.23,nopost,nopost,10.38,5.46,nopost,nopost,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,1,1,0,0,2,3,0.66
Health Tips,Pratap,2018,N,Randomized controlled trial,NA,4,PHQ9,NA,NA,NA,79,0,NA,NA,NA,NA,13.61,5.46,nopost,nopost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,1,1,0,0,2,3,0.5
iCBT,Stolz,2018,Y,Randomized controlled trial,CBT,12,BDI,NA,LSAS,SIAS,60,0,19.6,11.6,12.7,12.3,19.6,11.6,12.7,12.3,87.3,19.6,52.7,13.9,NA,NA,NA,NA,52.3,10.4,33.2,14.3,5,0,0,0,1,0,0,0,1,5,0.767
iCouch CBT,Dahne 1,2019,N,Randomized controlled trial,CBT,8,BDI,NA,NA,NA,9,0,28.33,7.71,17.08,8.19,28.33,7.71,17.08,8.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,1,0,0,0,1,5,0.333
Intellicare,Chen,2019,N,Nonrandomized trial,NA,8,PHQ9,NA,GAD7,LSAS,99,0,12.5,4.3,6.4,4.3,12.5,4.3,6.4,4.3,10.9,4.5,5.8,4,NA,NA,NA,NA,32.18,9.22,nopost,nopost,4,3,0,4,1,1,0,1,3,11,0.901
IntelliCare w recs,Mohr,2019,N,Randomized controlled trial,NA,8,PHQ9,NA,NA,NA,75,0,13.47,4.67,8.43,4.75,13.47,4.67,8.43,4.75,11.86,3.75,7.45,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,0,1,1,0,0,2,7,0.986666667
IntelliCare wo recs,Mohr,2019,N,Randomized controlled trial,NA,8,PHQ9,NA,NA,NA,76,0,13.47,4.67,8.43,4.75,13.47,4.67,8.43,4.75,11.86,3.75,7.45,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,0,1,1,0,0,2,7,1
Mindfulness app,Ly,2014,N,Randomized controlled trial,NA,8,PHQ9,BDI,NA,NA,41,0,13.22,4.81,7.19,5.84,13.22,4.81,7.19,5.84,NA,NA,NA,NA,24.68,9.47,12.94,10.18,NA,NA,NA,NA,1,0,0,1,1,0,0,1,2,2,0.878048781
Mobile Sensing and Support (MOSS),Wahle,2016,N,Nonrandomized trial,NA,4,PHQ9,NA,NA,NA,126,0,14.8,6.75,10.9,3.75,14.8,6.75,10.9,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,0,1,1,0,0,2,7,0.222
Moodivate,Dahne 2,2019,N,Randomized controlled trial,NA,8,BDI,NA,NA,NA,24,0,28.08,7.83,15.87,13.15,28.08,7.83,15.87,13.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,0,0,1,1,0,0,2,10,0.5
MoodKit,Dahne 2,2019,Y,Randomized controlled trial,CBT,8,BDI,NA,NA,NA,19,0,28.63,11.3,15.27,11.51,28.63,11.3,15.27,11.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,1,1,0,0,2,4,0.5
MoodMission,Bakker,2019,N,Nonrandomized trial,NA,4.285714286,NA,NA,NA,NA,473,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,1,1,0,0,2,6,NA
MT-Phoenix,Lukas,2019,N,Randomized controlled trial,CBT,2,PHQ9,NA,NA,NA,40,0,11.65,5.27,8.11,4.07,11.65,5.27,8.11,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,1,1,0,0,2,5,0.35
Pacifica,Bustillos,2018,Y,Nonrandomized trial,CBT,8.571428571,BDI,NA,NA,NA,24,0,29.42,12.5,32.11,14.86,29.42,12.5,32.11,14.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,1,1,1,1,4,9,0.791666667
Pacifica,Moberg,2019,Y,Randomized controlled trial,CBT,4,PHQ8,NA,NA,NA,253,0,9.7,3.181194744,7.4,6.362389488,9.7,0.2,7.4,0.4,9.7,0.2,7.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,1,1,1,1,4,9,0.35
Plus Connect,Lim,2019,N,Nonrandomized trial,NA,4.714285714,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,3,1,1,1,1,4,12,0.692307692
PUSH-D,Mehrotra,2018,N,Nonrandomized trial,NA,7,PHQ9,BDI,NA,NA,78,0,10.83,5.67,5.22,4.8,10.83,5.67,5.22,4.8,NA,NA,NA,NA,26.16,8.89,10.53,10.47,NA,NA,NA,NA,5,4,0,0,1,1,0,0,2,9,0.25
Superbetter CBT,Roepke,2015,N,Randomized controlled trial,CBT,4,NA,NA,GAD7,NA,93,0,12.49,4.75,8.2,6.01,NA,NA,NA,NA,12.49,4.75,8.2,6.01,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,1,1,1,4,8,0.215053763
Superbetter General,Roepke,2015,N,Randomized controlled trial,NA,4,NA,NA,GAD7,NA,97,0,10.99,4.98,6.94,4.09,NA,NA,NA,NA,10.99,4.98,6.94,4.09,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,1,1,1,4,8,0.18556701
Thought Challenger,Stiles-Shields,2019,N,Randomized controlled trial,NA,6,PHQ9,NA,NA,NA,10,0,15.2,5.49,3.43,3.82,15.2,5.49,3.43,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,1,0,0,0,1,3,1
Todac Todac,Hur,2018,N,Randomized controlled trial,CBT,3,BDI,NA,NA,NA,24,0,22.65,7.94,10,7.09,22.65,7.94,10,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,0,1,1,1,0,3,9,0.708
Wysa,Inkster,2018,N,Nonrandomized trial,NA,2,PHQ9,NA,NA,NA,129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,1,1,1,0,1,3,6,NA
